(0.0, -17.434913091372483, 11.055820780675507)
(1.0, -17.276933173891393, 11.021723112800407)
(2.0, -17.126701675670276, 10.99331805860933)
(3.0, -16.93334040601459, 10.945042338055206)
(4.0, -16.731224647745844, 10.891134726153675)
(5.0, -16.48292762077057, 10.802933322440262)
(6.0, -16.258406207287432, 10.720513134005126)
(7.0, -16.01710538992424, 10.640753413496617)
(8.0, -15.794098676027932, 10.578101025907436)
(9.0, -15.5461712969165, 10.509862971542782)
(10.0, -15.28948756332035, 10.441462063297813)
(11.0, -15.051262912574186, 10.378842812422025)
(12.0, -14.815168249959868, 10.318820548058051)
(13.0, -14.617299125434853, 10.284641321974936)
(14.0, -14.438241080625177, 10.258958418594846)
(15.0, -14.247866582777114, 10.227604069774204)
(16.0, -14.026839115384718, 10.1761680808056)
(17.0, -13.838553901908902, 10.15048105498022)
(18.0, -13.691495207607359, 10.133370627726432)
(19.0, -13.574980083072031, 10.119106651438514)
(20.0, -13.44154913773423, 10.082095150805383)
(21.0, -13.31362947024191, 10.061950816641083)
(22.0, -13.232853819930604, 10.090542664662939)
(23.0, -13.19386526687855, 10.130489697629908)
(24.0, -13.191045185205521, 10.16475075701198)
(25.0, -13.199416098271232, 10.17049463209979)
(26.0, -13.210529480354962, 10.176179078981253)
(27.0, -13.216155731430199, 10.170595301555728)
(28.0, -13.216111648656886, 10.161887697984412)
(29.0, -13.216187714327553, 10.164749270427023)
(30.0, -13.213310906035705, 10.173308423333483)
(31.0, -13.213345211465551, 10.184729796576686)
(32.0, -13.213416497673068, 10.187590124027079)
(33.0, -13.216117807276563, 10.204835752213983)
(34.0, -13.218898527581546, 10.224722004466148)
(35.0, -13.2022386528443, 10.236124562807081)
(36.0, -13.185547984156845, 10.230512963313322)
(37.0, -13.16606341361457, 10.224825920263617)
(38.0, -13.163256791065837, 10.221836422180449)
(39.0, -13.157647277036412, 10.221858069876573)
(40.0, -13.15765756903408, 10.233305684240559)
(41.0, -13.160412838461115, 10.24760481565301)
(42.0, -13.163305576947684, 10.276121684924505)
(43.0, -13.149350730403302, 10.28463074731156)
(44.0, -13.135362109573641, 10.287539623464975)
(45.0, -13.126961995045868, 10.276065204182716)
(46.0, -13.138215003336224, 10.2703166934877)
(47.0, -13.135312012990441, 10.27611893371307)
(48.0, -13.118634537258105, 10.284708635463096)
(49.0, -13.101903625313774, 10.27889945041084)
(50.0, -13.099134692983206, 10.26753095882701)
(51.0, -13.104704258529601, 10.258927171530045)
(52.0, -13.110223008707406, 10.264722440739117)
(53.0, -13.11020300885139, 10.287509922739753)
(54.0, -13.104704318915003, 10.307517103468436)
(55.0, -13.096325354849355, 10.324555552128881)
(56.0, -13.087877483593255, 10.321702872455015)
(57.0, -13.08235127283001, 10.316049764608575)
(58.0, -13.079663673883314, 10.313095064752169)
(59.0, -13.068493186458547, 10.313150362577447)
(60.0, -13.054481089502408, 10.315980027029934)
(61.0, -13.043330157210345, 10.316058766025757)
(62.0, -13.046124195157324, 10.31316789726525)
(63.0, -13.037755135956992, 10.307537009978727)
(64.0, -13.032110373419101, 10.307444056721504)
(65.0, -13.026542245586464, 10.30463527437044)
(66.0, -13.032234870389841, 10.307415988165785)
(67.0, -13.037729977412218, 10.307493831543516)
(68.0, -13.040542104492316, 10.31034759936664)
(69.0, -13.046034828770184, 10.304644285051921)
(70.0, -13.054540258367739, 10.307508008854182)
(71.0, -13.060110181749126, 10.307459127817149)
(72.0, -13.060095907947975, 10.307445040774972)
(73.0, -13.057239224677089, 10.2903602410336)
(74.0, -13.054539243188463, 10.276125040404098)
(75.0, -13.054492711092758, 10.258968864929601)
(76.0, -13.06845302693735, 10.258951713455488)
(77.0, -13.079586899773366, 10.278865230796843)
(78.0, -13.090751639884916, 10.298906869778289)
(79.0, -13.090757506311126, 10.318908826935958)
(80.0, -13.087910009882869, 10.316059723843486)
(81.0, -13.096362951883396, 10.316039895101248)
(82.0, -13.107460615245738, 10.31596333476481)
(83.0, -13.11581810017088, 10.316040449114682)
(84.0, -13.115836848438255, 10.318958512156922)
(85.0, -13.113033034521695, 10.318835203900669)
(86.0, -13.110299266721674, 10.31607590919999)
(87.0, -13.11021591161176, 10.310360972102199)
(88.0, -13.104711441570693, 10.310271911792883)
(89.0, -13.101897506942308, 10.313162697687737)
(90.0, -13.101812559285552, 10.313128436296381)
(91.0, -13.101880622256406, 10.298922143588781)
(92.0, -13.104698169618624, 10.28459090079006)
(93.0, -13.104658971988421, 10.284589416840788)
(94.0, -13.104639189029934, 10.29315853744387)
(95.0, -13.101866000418468, 10.298847487952312)
(96.0, -13.101963444639903, 10.296053689454498)
(97.0, -13.101992269790763, 10.290337428084612)
(98.0, -13.101782853299767, 10.284678108270995)
(99.0, -13.104659654081221, 10.28749392946668)
(100.0, -13.110266004338554, 10.290367497019675)
(101.0, -13.115884751197877, 10.290369014883163)
(102.0, -13.115842369735299, 10.290358956475755)
(103.0, -13.113100805867358, 10.290313487369719)
(104.0, -13.10752714275931, 10.290340593122169)
(105.0, -13.101927911458958, 10.290383637384974)
(106.0, -13.099141613405578, 10.293225954548877)
(107.0, -13.099164342580927, 10.298923300437034)
(108.0, -13.101909383269769, 10.307519788783027)
(109.0, -13.104573809256733, 10.310414253995413)
(110.0, -13.107537139294903, 10.318868081749335)
(111.0, -13.110242406509236, 10.32173561780273)
(112.0, -13.110218315076567, 10.327424799688263)
(113.0, -13.107535207735067, 10.327466374287917)
(114.0, -13.11021922639827, 10.330239884215828)
(115.0, -13.112993811025518, 10.32450664488612)
(116.0, -13.115851354776355, 10.313196667663266)
(117.0, -13.115792091509347, 10.3017418525463)
(118.0, -13.115823411354944, 10.298875440296262)
(119.0, -13.107448532814951, 10.301718351301902)
(120.0, -13.101872236947132, 10.29892615001405)
(121.0, -13.10466957798136, 10.298921640983322)
(122.0, -13.115907040951333, 10.31881445793891)
(123.0, -13.121478044231463, 10.344531122677934)
(124.0, -13.113045222207782, 10.364458859886195)
(125.0, -13.101831232516359, 10.36458200249671)
(126.0, -13.090676363867848, 10.361717915389532)
(127.0, -13.087922673766181, 10.3501871859121)
(128.0, -13.090701305533466, 10.341723917697301)
(129.0, -13.090713658797371, 10.333189834879379)
(130.0, -13.090692717112645, 10.321706900396975)
(131.0, -13.085224908472302, 10.310300574075363)
(132.0, -13.07681161273366, 10.293171713697424)
(133.0, -13.07113510530802, 10.290282823358387)
(134.0, -13.065675403317298, 10.293178806400109)
(135.0, -13.065607900488175, 10.304620210828844)
(136.0, -13.065650369636115, 10.31611433915354)
(137.0, -13.068411215476084, 10.31598769509568)
