n,x,y,lab
0.0,-14.763231554014773,9.51914072352997,1
1.0,-14.767568467180073,9.502369377622944,1
2.0,-14.764505478755492,9.492071038211003,1
3.0,-14.766118739575155,9.48375194099651,1
4.0,-14.772173965171374,9.477408220412181,1
5.0,-14.771409868409014,9.477389833651943,1
6.0,-14.781490330759015,9.491105603652276,1
7.0,-14.786245038482805,9.489227983477832,1
8.0,-14.775829933227936,9.482691074707034,1
9.0,-14.762297198118068,9.462447581654079,1
10.0,-14.74856862410423,9.442918039909985,1
11.0,-14.748118981779257,9.434298014235065,1
12.0,-14.73980589231767,9.430218356333928,1
13.0,-14.773333160633921,9.430852616421069,1
14.0,-14.801221459351297,9.438474179877526,1
15.0,-14.834103574009866,9.438142933315923,1
16.0,-14.82828825919287,9.454578358948751,1
17.0,-14.808695215153065,9.458941323031347,1
18.0,-14.812529415353698,9.451790761160929,1
19.0,-14.77997243611039,9.44190980509549,1
20.0,-14.755972122586666,9.412511389676071,1
21.0,-14.733727176355172,9.406145681906994,1
22.0,-14.740448439931559,9.397080509490852,1
23.0,-14.74354446179349,9.390289361365047,1
24.0,-14.74043303273157,9.393440634891975,1
25.0,-14.735955071297148,9.406865964373324,1
26.0,-14.73251449862745,9.417864523363937,1
27.0,-14.736705953211645,9.420756274997931,1
28.0,-14.750681430724434,9.411484651650765,1
29.0,-14.76128115024822,9.39614355023319,1
30.0,-14.756593640661176,9.392904847456661,1
31.0,-14.750231540631749,9.385891783700608,1
32.0,-14.757211262572339,9.364579327297871,1
33.0,-14.74826511601395,9.323273387459249,1
34.0,-14.741154382974013,9.279213983183388,1
35.0,-14.728926722672824,9.238451777615005,1
36.0,-14.730868321371847,9.234198900113341,1
37.0,-14.72107053668848,9.24424161272172,1
38.0,-14.714761717143908,9.253497558602367,1
39.0,-14.71794865545569,9.274663237793419,1
40.0,-14.709751037219524,9.279800855640346,1
41.0,-14.712854647991952,9.261977327639432,1
42.0,-14.716809442155295,9.244724967889539,1
43.0,-14.722415070543619,9.210844306655098,1
44.0,-14.727545621349195,9.200767542655711,1
45.0,-14.723087767799237,9.181190067259328,1
46.0,-14.734908943074275,9.178126799369291,1
47.0,-14.752422560300879,9.184457781866282,1
48.0,-14.750429089048302,9.151069680789513,1
49.0,-14.742975435586763,9.123882988140934,1
50.0,-14.737164539113689,9.10365889669078,1
51.0,-14.737437346339497,9.120548855238246,1
52.0,-14.754006544637784,9.13600867265804,1
53.0,-14.7730866275997,9.141203900987376,1
54.0,-14.792432284420356,9.141814840425242,1
55.0,-14.78855479486498,9.135931655307738,1
56.0,-14.798636049346001,9.126637734987526,1
57.0,-14.801502574135146,9.108578547203356,1
