n,x,y,val,xT,yT,dP,lab
0,4.826473,-16.508182,0,-0.220439,-0.081702,3532,0
1,4.776857,-16.540681,0,-0.220439,-0.081702,3532,0
2,4.73891,-16.554219,0,-0.220439,-0.081702,3531,0
3,4.668844,-16.546096,0,-0.220439,-0.081702,3530,0
4,4.616285,-16.535265,0,-0.220439,-0.081702,3531,0
5,4.549115,-16.546096,0,-0.220439,-0.081702,3531,0
6,4.525748,-16.573169,0,-0.220439,-0.081702,3527,0
7,4.505301,-16.605647,0,-0.220439,-0.081702,3521,0
8,4.505301,-16.621881,0,-0.220439,-0.081702,3515,0
9,4.505301,-16.629997,0,-0.220439,-0.081702,3511,0
10,4.528669,-16.635408,0,-0.220439,-0.081702,3506,0
11,4.604604,-16.635408,0,-0.220439,-0.081702,3502,0
12,4.683442,-16.624587,0,-0.220439,-0.081702,3502,0
13,4.741829,-16.565048,0,-0.220439,-0.081702,3502,0
14,4.823555,-16.505473,0,-0.220439,-0.081702,3502,0
15,4.963609,-16.348235,0,-0.220439,-0.081702,3498,0
16,5.135679,-16.198897,0,-0.220439,-0.081702,3494,0
17,5.295998,-15.983996,0,-0.220439,-0.081702,3490,0
18,5.397977,-15.809559,0,-0.220439,-0.081702,3485,0
19,5.482448,-15.591091,0,-0.220439,-0.081702,3480,0
20,5.499921,-15.429671,0,-0.220439,-0.081702,3476,0
21,5.613475,-15.246059,0,-0.220439,-0.081702,3476,0
22,5.697884,-15.064874,0,-0.220439,-0.081702,3473,0
23,5.843358,-14.877875,0,-0.220439,-0.081702,3468,0
24,5.904435,-14.709849,0,-0.220439,-0.081702,3461,0
25,5.988757,-14.62436,0,-0.220439,-0.081702,3457,0
26,6.029455,-14.472521,0,-0.220439,-0.081702,3454,0
27,6.084678,-14.359197,0,-0.220439,-0.081702,3452,0
28,6.151511,-14.19315,0,-0.220439,-0.081702,3447,0
29,6.27932,-14.071227,0,-0.220439,-0.081702,3440,0
30,6.415774,-13.904758,0,-0.220439,-0.081702,3430,0
31,6.560857,-13.768631,0,-0.220439,-0.081702,3423,0
32,6.665265,-13.604513,0,-0.220439,-0.081702,3417,0
33,6.760933,-13.468037,0,-0.220439,-0.081702,3414,0
34,6.888432,-13.281176,0,-0.220439,-0.081702,3404,0
35,6.998489,-13.130362,0,-0.220439,-0.081702,3396,0
36,7.125859,-12.98216,0,-0.220439,-0.081702,3390,0
37,7.180838,-12.861791,0,-0.220439,-0.081702,3383,0
38,7.253158,-12.774942,0,-0.220439,-0.081702,3377,0
39,7.339912,-12.690837,0,-0.220439,-0.081702,3371,0
40,7.429522,-12.654374,0,-0.220439,-0.081702,3368,0
41,7.536427,-12.615095,0,-0.220439,-0.081702,3363,0
42,7.582641,-12.601064,0,-0.220439,-0.081702,3353,1
43,7.625957,-12.57861,0,-0.220439,-0.081702,3347,1
44,7.628844,-12.533692,0,-0.220439,-0.081702,3343,1
45,7.634619,-12.477523,0,-0.220439,-0.081702,3343,1
46,7.637506,-12.407277,0,-0.220439,-0.081702,3345,1
47,7.625957,-12.353864,0,-0.220439,-0.081702,3345,1
48,7.614407,-12.303243,0,-0.220439,-0.081702,3344,1
49,7.602856,-12.272298,0,-0.220439,-0.081702,3341,1
50,7.602856,-12.204756,0,-0.220439,-0.081702,3338,1
51,7.599968,-12.156893,0,-0.220439,-0.081702,3336,1
52,7.545093,-12.117464,0,-0.220439,-0.081702,3334,1
53,7.487315,-12.123098,0,-0.220439,-0.081702,3325,1
54,7.426631,-12.120281,0,-0.220439,-0.081702,3316,1
55,7.412181,-12.097745,0,-0.220439,-0.081702,3308,1
56,7.389057,-12.063934,0,-0.220439,-0.081702,3306,1
57,7.360149,-12.035752,0,-0.220439,-0.081702,3302,1
58,7.310998,-12.035752,0,-0.220439,-0.081702,3300,1
59,7.267619,-12.080841,0,-0.220439,-0.081702,3299,1
60,7.22134,-12.125914,0,-0.220439,-0.081702,3298,1
61,7.203983,-12.154077,0,-0.220439,-0.081702,3297,1
62,7.154797,-12.199126,0,-0.220439,-0.081702,3296,1
63,7.082445,-12.24416,0,-0.220439,-0.081702,3296,1
64,6.992698,-12.294804,0,-0.220439,-0.081702,3295,1
65,6.934778,-12.306055,0,-0.220439,-0.081702,3293,1
66,6.876844,-12.328556,0,-0.220439,-0.081702,3290,1
67,6.804406,-12.345429,0,-0.220439,-0.081702,3288,1
68,6.731947,-12.356676,0,-0.220439,-0.081702,3284,1
69,6.69136,-12.353864,0,-0.220439,-0.081702,3279,1
70,6.671064,-12.373545,0,-0.220439,-0.081702,3270,1
71,6.650767,-12.393223,0,-0.220439,-0.081702,3266,1
72,6.618867,-12.404466,0,-0.220439,-0.081702,3261,1
73,6.610167,-12.398844,0,-0.220439,-0.081702,3262,1
74,6.604366,-12.412898,0,-0.220439,-0.081702,3259,1
75,6.604366,-12.43538,0,-0.220439,-0.081702,3255,1
76,6.604366,-12.455048,0,-0.220439,-0.081702,3252,1
77,6.552155,-12.466286,0,-0.220439,-0.081702,3252,1
78,6.485424,-12.480332,0,-0.220439,-0.081702,3250,1
79,6.418677,-12.491568,0,-0.220439,-0.081702,3248,1
80,6.395456,-12.52246,0,-0.220439,-0.081702,3245,1
81,6.349008,-12.550539,0,-0.220439,-0.081702,3243,1
82,6.302552,-12.581417,0,-0.220439,-0.081702,3241,1
83,6.227042,-12.581417,0,-0.220439,-0.081702,3240,1
84,6.18928,-12.57019,0,-0.220439,-0.081702,3237,1
85,6.154417,-12.544923,0,-0.220439,-0.081702,3233,1
86,6.11955,-12.519652,0,-0.220439,-0.081702,3228,1
87,6.06724,-12.530885,0,-0.220439,-0.081702,3227,1
88,6.0062,-12.547731,0,-0.220439,-0.081702,3222,1
89,5.974221,-12.556153,0,-0.220439,-0.081702,3217,1
90,5.953868,-12.550539,0,-0.220439,-0.081702,3210,1
91,5.930607,-12.550539,0,-0.220439,-0.081702,3205,1
92,5.910251,-12.5365,0,-0.220439,-0.081702,3201,1
93,5.892802,-12.514036,0,-0.220439,-0.081702,3200,1
94,5.86081,-12.494376,0,-0.220439,-0.081702,3201,1
95,5.799724,-12.491568,0,-0.220439,-0.081702,3201,1
96,5.744444,-12.488759,0,-0.220439,-0.081702,3200,1
97,5.700794,-12.514036,0,-0.220439,-0.081702,3195,1
98,5.692064,-12.5365,0,-0.220439,-0.081702,3191,1
99,5.651317,-12.556153,0,-0.220439,-0.081702,3187,1
100,5.610564,-12.544923,0,-0.220439,-0.081702,3186,1
101,5.537778,-12.533692,0,-0.220439,-0.081702,3186,1
102,5.479535,-12.528077,0,-0.220439,-0.081702,3184,1
103,5.389237,-12.525269,0,-0.220439,-0.081702,3181,1
104,5.336794,-12.52246,0,-0.220439,-0.081702,3177,1
105,5.278513,-12.511228,0,-0.220439,-0.081702,3172,1
106,5.246454,-12.497185,0,-0.220439,-0.081702,3168,1
107,5.208561,-12.48595,0,-0.220439,-0.081702,3163,1
108,5.191071,-12.477523,0,-0.220439,-0.081702,3157,1
