n,x,y,val,xT,yT,dP,lab
0,0.784717,0.180548,0,-0.220439,-0.081702,3726,0
1,0.834673,0.192335,0,-0.220439,-0.081702,3727,0
2,0.843489,0.174655,0,-0.220439,-0.081702,3729,0
3,0.825858,0.168762,0,-0.220439,-0.081702,3728,0
4,0.802349,0.183495,0,-0.220439,-0.081702,3726,0
5,0.77884,0.183495,0,-0.220439,-0.081702,3728,0
6,0.764146,0.177601,0,-0.220439,-0.081702,3730,0
7,0.743576,0.171708,0,-0.220439,-0.081702,3731,1
8,0.705372,0.142242,0,-0.220439,-0.081702,3731,1
9,0.690678,0.106883,0,-0.220439,-0.081702,3733,1
10,0.670107,0.06563,0,-0.220439,-0.081702,3737,1
11,0.667168,0.04795,0,-0.220439,-0.081702,3741,1
12,0.678923,0.033217,0,-0.220439,-0.081702,3743,1
13,0.705372,0.015537,0,-0.220439,-0.081702,3745,1
14,0.728882,0.01259,0,-0.220439,-0.081702,3747,1
15,0.737698,0.015537,0,-0.220439,-0.081702,3747,1
16,0.746514,0.03027,0,-0.220439,-0.081702,3738,1
17,0.758269,0.053843,0,-0.220439,-0.081702,3730,1
18,0.772962,0.077416,0,-0.220439,-0.081702,3724,1
19,0.784717,0.086256,0,-0.220439,-0.081702,3724,1
20,0.793533,0.089203,0,-0.220439,-0.081702,3724,1
21,0.796472,0.083309,0,-0.220439,-0.081702,3725,1
22,0.790594,0.086256,0,-0.220439,-0.081702,3725,1
23,0.781778,0.089203,0,-0.220439,-0.081702,3731,1
24,0.817042,0.089203,0,-0.220439,-0.081702,3736,1
25,0.86112,0.080363,0,-0.220439,-0.081702,3741,1
26,0.86112,0.080363,0,-0.220439,-0.081702,3740,1
27,0.819981,0.083309,0,-0.220439,-0.081702,3738,1
28,0.772962,0.089203,0,-0.220439,-0.081702,3738,1
29,0.764146,0.092149,0,-0.220439,-0.081702,3738,1
30,0.752392,0.092149,0,-0.220439,-0.081702,3739,1
31,0.752392,0.089203,0,-0.220439,-0.081702,3738,1
32,0.75533,0.089203,0,-0.220439,-0.081702,3735,1
33,0.758269,0.080363,0,-0.220439,-0.081702,3735,1
34,0.758269,0.07447,0,-0.220439,-0.081702,3738,1
35,0.752392,0.033217,0,-0.220439,-0.081702,3740,1
36,0.746514,-0.002143,0,-0.220439,-0.081702,3738,1
37,0.743576,-0.025716,0,-0.220439,-0.081702,3737,1
38,0.749453,-0.008036,0,-0.220439,-0.081702,3736,1
39,0.761208,0.009644,0,-0.220439,-0.081702,3735,1
40,0.764146,0.018483,0,-0.220439,-0.081702,3738,1
41,0.764146,0.018483,0,-0.220439,-0.081702,3741,1
42,0.75533,0.015537,0,-0.220439,-0.081702,3745,1
43,0.752392,0.01259,0,-0.220439,-0.081702,3747,1
44,0.75533,0.015537,0,-0.220439,-0.081702,3749,1
45,0.758269,0.018483,0,-0.220439,-0.081702,3751,1
46,0.764146,0.02143,0,-0.220439,-0.081702,3752,1
