n,x,y,val,xT,yT,dP,lab
0,NaN,NaN,4,-0.220439,-0.081702,NaN,0
1,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
2,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
3,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
4,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
5,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
6,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
7,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
8,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
9,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
10,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
11,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
12,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
13,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
14,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
15,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
16,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
17,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
18,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
19,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
20,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
21,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
22,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
23,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
24,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
25,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
26,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
27,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
28,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
29,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
30,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
31,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
32,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
33,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
34,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
35,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
36,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
37,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
38,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
39,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
40,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
41,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
42,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
43,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
44,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
45,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
46,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
47,NaN,NaN,4,-0.220439,-0.081702,NaN,-1
48,-16.006192,7.208318,0,-0.220439,-0.081702,4217,2
49,-16.006192,7.208318,0,-0.220439,-0.081702,4217,2
50,-16.011623,7.156108,0,-0.220439,-0.081702,4217,2
51,-16.019769,7.098082,0,-0.220439,-0.081702,4216,2
52,-16.03063,7.031335,0,-0.220439,-0.081702,4217,2
