n,x,y,val,xT,yT,dP,lab
0,-0.123446,-4.258075,0,-0.220439,-0.081702,3911,0
1,-0.120507,-4.266866,0,-0.220439,-0.081702,3913,0
2,-0.10875,-4.261005,0,-0.220439,-0.081702,3915,0
3,-0.094054,-4.255144,0,-0.220439,-0.081702,3914,0
4,-0.079358,-4.249283,0,-0.220439,-0.081702,3910,0
5,-0.079358,-4.249283,0,-0.220439,-0.081702,3907,0
6,-0.088176,-4.249283,0,-0.220439,-0.081702,3905,0
7,-0.099933,-4.249283,0,-0.220439,-0.081702,3905,1
8,-0.102872,-4.252214,0,-0.220439,-0.081702,3905,1
9,-0.096993,-4.252214,0,-0.220439,-0.081702,3905,1
10,-0.091115,-4.252214,0,-0.220439,-0.081702,3906,1
11,-0.094054,-4.263935,0,-0.220439,-0.081702,3906,1
12,-0.091115,-4.275657,0,-0.220439,-0.081702,3906,1
13,-0.085237,-4.272726,0,-0.220439,-0.081702,3905,1
14,-0.079358,-4.255144,0,-0.220439,-0.081702,3905,1
15,-0.07348,-4.243422,0,-0.220439,-0.081702,3906,1
16,-0.070541,-4.263935,0,-0.220439,-0.081702,3906,1
17,-0.07348,-4.281517,0,-0.220439,-0.081702,3905,1
18,-0.079358,-4.293238,0,-0.220439,-0.081702,3904,1
19,-0.085237,-4.296168,0,-0.220439,-0.081702,3904,1
20,-0.085237,-4.281517,0,-0.220439,-0.081702,3904,1
21,-0.085237,-4.269796,0,-0.220439,-0.081702,3905,1
22,-0.085237,-4.258075,0,-0.220439,-0.081702,3905,1
23,-0.102872,-4.278587,0,-0.220439,-0.081702,3907,1
24,-0.120507,-4.296168,0,-0.220439,-0.081702,3909,1
25,-0.138142,-4.313748,0,-0.220439,-0.081702,3911,1
26,-0.138142,-4.310818,0,-0.220439,-0.081702,3911,1
27,-0.132264,-4.310818,0,-0.220439,-0.081702,3911,1
28,-0.126385,-4.310818,0,-0.220439,-0.081702,3912,1
29,-0.123446,-4.313748,0,-0.220439,-0.081702,3913,1
30,-0.126385,-4.316678,0,-0.220439,-0.081702,3913,1
31,-0.123446,-4.319608,0,-0.220439,-0.081702,3913,1
32,-0.123446,-4.316678,0,-0.220439,-0.081702,3914,1
33,-0.123446,-4.319608,0,-0.220439,-0.081702,3916,1
34,-0.120507,-4.325468,0,-0.220439,-0.081702,3918,1
35,-0.117568,-4.331328,0,-0.220439,-0.081702,3921,1
36,-0.105811,-4.343047,0,-0.220439,-0.081702,3922,1
37,-0.096993,-4.348906,0,-0.220439,-0.081702,3923,1
38,-0.088176,-4.351836,0,-0.220439,-0.081702,3922,1
39,-0.088176,-4.348906,0,-0.220439,-0.081702,3921,1
40,-0.085237,-4.348906,0,-0.220439,-0.081702,3921,1
41,-0.082298,-4.351836,0,-0.220439,-0.081702,3922,1
42,-0.082298,-4.360625,0,-0.220439,-0.081702,3923,1
43,-0.079358,-4.369413,0,-0.220439,-0.081702,3924,1
44,-0.076419,-4.378202,0,-0.220439,-0.081702,3924,1
45,-0.079358,-4.384061,0,-0.220439,-0.081702,3924,1
46,-0.085237,-4.38992,0,-0.220439,-0.081702,3925,1
47,-0.082298,-4.392849,0,-0.220439,-0.081702,3924,1
48,-0.076419,-4.395778,0,-0.220439,-0.081702,3923,1
49,-0.067602,-4.401637,0,-0.220439,-0.081702,3921,1
50,-0.070541,-4.407495,0,-0.220439,-0.081702,3923,1
51,-0.07348,-4.410425,0,-0.220439,-0.081702,3924,1
52,-0.079358,-4.416283,0,-0.220439,-0.081702,3925,1
53,-0.079358,-4.42507,0,-0.220439,-0.081702,3926,1
54,-0.076419,-4.430929,0,-0.220439,-0.081702,3928,1
55,-0.07348,-4.430929,0,-0.220439,-0.081702,3930,1
56,-0.07348,-4.430929,0,-0.220439,-0.081702,3930,1
57,-0.07348,-4.42507,0,-0.220439,-0.081702,3927,1
58,-0.07348,-4.416283,0,-0.220439,-0.081702,3923,1
59,-0.076419,-4.407495,0,-0.220439,-0.081702,3919,1
60,-0.082298,-4.407495,0,-0.220439,-0.081702,3918,1
61,-0.088176,-4.407495,0,-0.220439,-0.081702,3917,1
62,-0.094054,-4.410425,0,-0.220439,-0.081702,3921,1
63,-0.088176,-4.419212,0,-0.220439,-0.081702,3926,1
64,-0.088176,-4.42507,0,-0.220439,-0.081702,3930,1
65,-0.085237,-4.433858,0,-0.220439,-0.081702,3930,1
66,-0.076419,-4.42507,0,-0.220439,-0.081702,3930,1
67,-0.061723,-4.422141,0,-0.220439,-0.081702,3930,1
68,-0.044088,-4.419212,0,-0.220439,-0.081702,3929,1
69,-0.044088,-4.422141,0,-0.220439,-0.081702,3929,1
70,-0.041149,-4.422141,0,-0.220439,-0.081702,3929,1
71,-0.041149,-4.413354,0,-0.220439,-0.081702,3929,1
72,-0.041149,-4.407495,0,-0.220439,-0.081702,3929,1
73,-0.041149,-4.401637,0,-0.220439,-0.081702,3929,1
74,-0.03527,-4.398708,0,-0.220439,-0.081702,3931,1
75,-0.03527,-4.398708,0,-0.220439,-0.081702,3933,1
76,-0.03527,-4.401637,0,-0.220439,-0.081702,3934,1
77,-0.041149,-4.410425,0,-0.220439,-0.081702,3934,1
78,-0.047027,-4.413354,0,-0.220439,-0.081702,3934,1
79,-0.055845,-4.416283,0,-0.220439,-0.081702,3934,1
80,-0.061723,-4.428,0,-0.220439,-0.081702,3934,1
81,-0.067602,-4.436787,0,-0.220439,-0.081702,3931,1
82,-0.070541,-4.436787,0,-0.220439,-0.081702,3927,1
83,-0.076419,-4.428,0,-0.220439,-0.081702,3927,1
84,-0.076419,-4.422141,0,-0.220439,-0.081702,3929,1
85,-0.064662,-4.442645,0,-0.220439,-0.081702,3931,1
86,-0.052906,-4.466076,0,-0.220439,-0.081702,3932,1
87,-0.044088,-4.486576,0,-0.220439,-0.081702,3933,1
88,-0.047027,-4.480719,0,-0.220439,-0.081702,3934,1
89,-0.049966,-4.469004,0,-0.220439,-0.081702,3934,1
90,-0.052906,-4.457289,0,-0.220439,-0.081702,3935,1
91,-0.058784,-4.451431,0,-0.220439,-0.081702,3935,1
92,-0.064662,-4.463147,0,-0.220439,-0.081702,3935,1
93,-0.070541,-4.486576,0,-0.220439,-0.081702,3935,1
94,-0.07348,-4.510005,0,-0.220439,-0.081702,3936,1
95,-0.07348,-4.510005,0,-0.220439,-0.081702,3936,1
96,-0.085237,-4.510005,0,-0.220439,-0.081702,3937,1
97,-0.096993,-4.507076,0,-0.220439,-0.081702,3936,1
98,-0.099933,-4.507076,0,-0.220439,-0.081702,3934,1
99,-0.094054,-4.504148,0,-0.220439,-0.081702,3934,1
100,-0.088176,-4.498291,0,-0.220439,-0.081702,3934,1
101,-0.079358,-4.495362,0,-0.220439,-0.081702,3934,1
102,-0.07348,-4.489505,0,-0.220439,-0.081702,3934,1
103,-0.067602,-4.489505,0,-0.220439,-0.081702,3934,1
104,-0.067602,-4.489505,0,-0.220439,-0.081702,3933,1
105,-0.064662,-4.492434,0,-0.220439,-0.081702,3932,1
106,-0.061723,-4.489505,0,-0.220439,-0.081702,3930,1
107,-0.061723,-4.47779,0,-0.220439,-0.081702,3929,1
108,-0.061723,-4.471933,0,-0.220439,-0.081702,3929,1
109,-0.055845,-4.463147,0,-0.220439,-0.081702,3929,1
110,-0.049966,-4.460218,0,-0.220439,-0.081702,3931,1
111,-0.047027,-4.45436,0,-0.220439,-0.081702,3933,1
112,-0.047027,-4.457289,0,-0.220439,-0.081702,3935,1
113,-0.044088,-4.466076,0,-0.220439,-0.081702,3934,1
114,-0.03527,-4.474862,0,-0.220439,-0.081702,3933,1
115,-0.029392,-4.47779,0,-0.220439,-0.081702,3933,1
116,-0.026453,-4.471933,0,-0.220439,-0.081702,3932,1
117,-0.026453,-4.466076,0,-0.220439,-0.081702,3931,1
118,-0.026453,-4.466076,0,-0.220439,-0.081702,3931,1
119,-0.029392,-4.469004,0,-0.220439,-0.081702,3931,1
120,-0.032331,-4.474862,0,-0.220439,-0.081702,3931,1
121,-0.032331,-4.480719,0,-0.220439,-0.081702,3931,1
122,-0.032331,-4.495362,0,-0.220439,-0.081702,3932,1
123,-0.03527,-4.512933,0,-0.220439,-0.081702,3935,1
124,-0.03527,-4.533431,0,-0.220439,-0.081702,3939,1
125,-0.03527,-4.542216,0,-0.220439,-0.081702,3942,1
126,-0.032331,-4.548072,0,-0.220439,-0.081702,3945,1
127,-0.029392,-4.545144,0,-0.220439,-0.081702,3945,1
128,-0.029392,-4.551,0,-0.220439,-0.081702,3943,1
129,-0.026453,-4.562712,0,-0.220439,-0.081702,3941,1
130,-0.044088,-4.58028,0,-0.220439,-0.081702,3939,1
131,-0.061723,-4.594919,0,-0.220439,-0.081702,3940,1
132,-0.082298,-4.600774,0,-0.220439,-0.081702,3940,1
133,-0.085237,-4.586135,0,-0.220439,-0.081702,3940,1
134,-0.076419,-4.574424,0,-0.220439,-0.081702,3936,1
135,-0.070541,-4.56564,0,-0.220439,-0.081702,3931,1
136,-0.067602,-4.571496,0,-0.220439,-0.081702,3930,1
137,-0.07348,-4.562712,0,-0.220439,-0.081702,3932,1
138,-0.082298,-4.545144,0,-0.220439,-0.081702,3934,1
139,-0.082298,-4.539288,0,-0.220439,-0.081702,3932,1
140,-0.082298,-4.548072,0,-0.220439,-0.081702,3932,1
141,-0.076419,-4.56564,0,-0.220439,-0.081702,3933,1
142,-0.076419,-4.568568,0,-0.220439,-0.081702,3938,1
143,-0.076419,-4.56564,0,-0.220439,-0.081702,3943,1
144,-0.079358,-4.553928,0,-0.220439,-0.081702,3946,1
145,-0.076419,-4.548072,0,-0.220439,-0.081702,3946,1
146,-0.076419,-4.553928,0,-0.220439,-0.081702,3944,1
147,-0.076419,-4.559784,0,-0.220439,-0.081702,3941,1
148,-0.076419,-4.562712,0,-0.220439,-0.081702,3942,1
149,-0.076419,-4.58028,0,-0.220439,-0.081702,3945,1
150,-0.082298,-4.597846,0,-0.220439,-0.081702,3948,1
151,-0.088176,-4.615412,0,-0.220439,-0.081702,3948,1
152,-0.102872,-4.61834,0,-0.220439,-0.081702,3947,1
153,-0.105811,-4.61834,0,-0.220439,-0.081702,3948,1
154,-0.111689,-4.61834,0,-0.220439,-0.081702,3950,1
155,-0.114629,-4.615412,0,-0.220439,-0.081702,3952,1
156,-0.120507,-4.612485,0,-0.220439,-0.081702,3952,1
157,-0.111689,-4.61834,0,-0.220439,-0.081702,3952,1
158,-0.099933,-4.627122,0,-0.220439,-0.081702,3953,1
159,-0.099933,-4.635905,0,-0.220439,-0.081702,3954,1
160,-0.111689,-4.635905,0,-0.220439,-0.081702,3952,1
161,-0.126385,-4.632977,0,-0.220439,-0.081702,3949,1
162,-0.126385,-4.621267,0,-0.220439,-0.081702,3946,1
163,-0.123446,-4.600774,0,-0.220439,-0.081702,3946,1
164,-0.114629,-4.577352,0,-0.220439,-0.081702,3947,1
165,-0.102872,-4.568568,0,-0.220439,-0.081702,3946,1
166,-0.096993,-4.577352,0,-0.220439,-0.081702,3945,1
167,-0.091115,-4.591991,0,-0.220439,-0.081702,3942,1
168,-0.091115,-4.603702,0,-0.220439,-0.081702,3945,1
169,-0.091115,-4.609557,0,-0.220439,-0.081702,3950,1
170,-0.088176,-4.609557,0,-0.220439,-0.081702,3956,1
171,-0.082298,-4.609557,0,-0.220439,-0.081702,3955,1
172,-0.076419,-4.606629,0,-0.220439,-0.081702,3952,1
173,-0.070541,-4.603702,0,-0.220439,-0.081702,3951,1
174,-0.064662,-4.606629,0,-0.220439,-0.081702,3952,1
175,-0.064662,-4.606629,0,-0.220439,-0.081702,3954,1
176,-0.064662,-4.603702,0,-0.220439,-0.081702,3956,1
177,-0.070541,-4.612485,0,-0.220439,-0.081702,3957,1
178,-0.076419,-4.627122,0,-0.220439,-0.081702,3958,1
179,-0.079358,-4.638832,0,-0.220439,-0.081702,3959,1
180,-0.076419,-4.635905,0,-0.220439,-0.081702,3961,1
181,-0.07348,-4.641759,0,-0.220439,-0.081702,3963,1
182,-0.076419,-4.653468,0,-0.220439,-0.081702,3963,1
183,-0.085237,-4.66225,0,-0.220439,-0.081702,3964,1
184,-0.094054,-4.66225,0,-0.220439,-0.081702,3965,1
185,-0.102872,-4.671032,0,-0.220439,-0.081702,3966,1
186,-0.10875,-4.685667,0,-0.220439,-0.081702,3969,1
187,-0.114629,-4.697374,0,-0.220439,-0.081702,3970,1
188,-0.120507,-4.697374,0,-0.220439,-0.081702,3970,1
189,-0.120507,-4.700301,0,-0.220439,-0.081702,3969,1
190,-0.117568,-4.703228,0,-0.220439,-0.081702,3967,1
191,-0.114629,-4.709082,0,-0.220439,-0.081702,3967,1
192,-0.117568,-4.712009,0,-0.220439,-0.081702,3968,1
193,-0.120507,-4.712009,0,-0.220439,-0.081702,3968,1
194,-0.120507,-4.712009,0,-0.220439,-0.081702,3967,1
195,-0.120507,-4.709082,0,-0.220439,-0.081702,3966,1
196,-0.120507,-4.709082,0,-0.220439,-0.081702,3965,1
197,-0.120507,-4.709082,0,-0.220439,-0.081702,3966,1
198,-0.120507,-4.709082,0,-0.220439,-0.081702,3968,1
199,-0.105811,-4.703228,0,-0.220439,-0.081702,3967,1
200,-0.091115,-4.697374,0,-0.220439,-0.081702,3963,1
201,-0.088176,-4.688594,0,-0.220439,-0.081702,3959,1
202,-0.099933,-4.685667,0,-0.220439,-0.081702,3957,1
203,-0.10875,-4.691521,0,-0.220439,-0.081702,3958,1
204,-0.094054,-4.706155,0,-0.220439,-0.081702,3962,1
205,-0.079358,-4.723715,0,-0.220439,-0.081702,3966,1
206,-0.064662,-4.726642,0,-0.220439,-0.081702,3970,1
207,-0.067602,-4.723715,0,-0.220439,-0.081702,3969,1
208,-0.070541,-4.720789,0,-0.220439,-0.081702,3967,1
209,-0.07348,-4.720789,0,-0.220439,-0.081702,3965,1
210,-0.067602,-4.741275,0,-0.220439,-0.081702,3967,1
211,-0.061723,-4.767612,0,-0.220439,-0.081702,3970,1
212,-0.052906,-4.793948,0,-0.220439,-0.081702,3971,1
213,-0.047027,-4.796874,0,-0.220439,-0.081702,3969,1
214,-0.044088,-4.793948,0,-0.220439,-0.081702,3967,1
215,-0.049966,-4.791022,0,-0.220439,-0.081702,3966,1
216,-0.052906,-4.782244,0,-0.220439,-0.081702,3966,1
217,-0.055845,-4.770539,0,-0.220439,-0.081702,3969,1
218,-0.067602,-4.788096,0,-0.220439,-0.081702,3971,1
219,-0.07348,-4.81443,0,-0.220439,-0.081702,3974,1
220,-0.07348,-4.83491,0,-0.220439,-0.081702,3974,1
221,-0.067602,-4.826133,0,-0.220439,-0.081702,3976,1
222,-0.064662,-4.823207,0,-0.220439,-0.081702,3977,1
223,-0.064662,-4.826133,0,-0.220439,-0.081702,3978,1
224,-0.064662,-4.831985,0,-0.220439,-0.081702,3979,2
225,-0.064662,-4.840762,0,-0.220439,-0.081702,3980,2
226,-0.070541,-4.852464,0,-0.220439,-0.081702,3980,2
227,-0.102872,-4.861241,0,-0.220439,-0.081702,3984,2
228,-0.135203,-4.840762,0,-0.220439,-0.081702,3988,2
229,-0.18223,-4.81443,0,-0.220439,-0.081702,3992,2
230,-0.211621,-4.750054,0,-0.220439,-0.081702,3994,2
231,-0.276283,-4.647614,0,-0.220439,-0.081702,3995,2
232,-0.355639,-4.483648,0,-0.220439,-0.081702,3997,2
233,-0.455566,-4.284447,0,-0.220439,-0.081702,3997,2
234,-0.526102,-4.041165,0,-0.220439,-0.081702,3997,2
235,-0.628963,-3.753729,0,-0.220439,-0.081702,3997,2
236,-0.723005,-3.410319,0,-0.220439,-0.081702,3998,2
237,-0.840551,-3.046096,0,-0.220439,-0.081702,3998,2
238,-0.916952,-2.658104,0,-0.220439,-0.081702,3999,2
239,-0.99335,-2.296345,0,-0.220439,-0.081702,3999,2
