n,x,y,val,dP,lab,xT,yT
0,-14.606273,9.125215,0,2527,0,NaN,NaN
1,-14.589758,9.13096,0,2527,0,NaN,NaN
2,-14.581499,9.110852,0,2528,0,NaN,NaN
3,-14.589758,9.093614,0,2530,0,NaN,NaN
4,-14.592511,9.093614,0,2532,0,NaN,NaN
5,-14.587005,9.110852,0,2534,0,NaN,NaN
6,-14.581499,9.139577,0,2534,0,NaN,NaN
7,-14.578747,9.162554,0,2533,1,NaN,NaN
8,-14.581499,9.179785,0,2532,1,NaN,NaN
9,-14.581499,9.162554,0,2531,1,NaN,NaN
10,-14.581499,9.139577,0,2531,1,NaN,NaN
11,-14.575993,9.110852,0,2531,1,NaN,NaN
12,-14.567734,9.105106,0,2531,1,NaN,NaN
13,-14.55672,9.11947,0,2528,1,NaN,NaN
14,-14.545706,9.133832,0,2525,1,NaN,NaN
15,-14.53469,9.13096,0,2522,1,NaN,NaN
16,-14.537444,9.110852,0,2521,1,NaN,NaN
17,-14.54846,9.113724,0,2522,1,NaN,NaN
18,-14.559474,9.136705,0,2523,1,NaN,NaN
19,-14.559474,9.159682,0,2524,1,NaN,NaN
20,-14.55672,9.168298,0,2525,1,NaN,NaN
21,-14.55672,9.176913,0,2524,1,NaN,NaN
22,-14.55672,9.185528,0,2523,1,NaN,NaN
23,-14.55672,9.185528,0,2522,1,NaN,NaN
24,-14.551213,9.185528,0,2521,1,NaN,NaN
25,-14.54846,9.185528,0,2520,1,NaN,NaN
26,-14.54846,9.185528,0,2518,1,NaN,NaN
27,-14.553967,9.185528,0,2517,1,NaN,NaN
28,-14.553967,9.185528,0,2516,1,NaN,NaN
29,-14.553967,9.188399,0,2517,1,NaN,NaN
30,-14.551213,9.194142,0,2518,1,NaN,NaN
31,-14.529182,9.194142,0,2519,1,NaN,NaN
32,-14.509901,9.179785,0,2520,1,NaN,NaN
33,-14.496126,9.168298,0,2521,1,NaN,NaN
34,-14.504391,9.15681,0,2521,1,NaN,NaN
35,-14.498881,9.153938,0,2519,1,NaN,NaN
36,-14.487861,9.153938,0,2516,1,NaN,NaN
37,-14.476839,9.162554,0,2514,1,NaN,NaN
38,-14.474084,9.179785,0,2514,1,NaN,NaN
39,-14.468572,9.191271,0,2514,1,NaN,NaN
40,-14.468572,9.199885,0,2512,1,NaN,NaN
41,-14.474084,9.202756,0,2510,1,NaN,NaN
42,-14.487861,9.194142,0,2512,1,NaN,NaN
43,-14.501636,9.185528,0,2515,1,NaN,NaN
44,-14.504391,9.171169,0,2518,1,NaN,NaN
45,-14.498881,9.165426,0,2517,1,NaN,NaN
46,-14.496126,9.165426,0,2516,1,NaN,NaN
47,-14.498881,9.174041,0,2516,1,NaN,NaN
48,-14.504391,9.191271,0,2516,1,NaN,NaN
49,-14.507146,9.205627,0,2516,1,NaN,NaN
50,-14.507146,9.21137,0,2515,1,NaN,NaN
51,-14.504391,9.188399,0,2515,1,NaN,NaN
52,-14.501636,9.165426,0,2514,1,NaN,NaN
53,-14.498881,9.136705,0,2514,1,NaN,NaN
54,-14.498881,9.136705,0,2515,1,NaN,NaN
55,-14.501636,9.145321,0,2516,1,NaN,NaN
56,-14.501636,9.151066,0,2519,1,NaN,NaN
57,-14.501636,9.153938,0,2520,1,NaN,NaN
58,-14.501636,9.142449,0,2521,1,NaN,NaN
59,-14.501636,9.133832,0,2521,1,NaN,NaN
60,-14.512655,9.142449,0,2520,1,NaN,NaN
61,-14.523673,9.151066,0,2519,1,NaN,NaN
62,-14.526428,9.165426,0,2521,1,NaN,NaN
63,-14.526428,9.176913,0,2523,1,NaN,NaN
64,-14.523673,9.188399,0,2526,1,NaN,NaN
65,-14.51541,9.208499,0,2526,1,NaN,NaN
66,-14.504391,9.222854,0,2526,1,NaN,NaN
67,-14.496126,9.237208,0,2527,1,NaN,NaN
68,-14.496126,9.234337,0,2527,1,NaN,NaN
69,-14.498881,9.222854,0,2526,1,NaN,NaN
70,-14.498881,9.205627,0,2525,1,NaN,NaN
71,-14.501636,9.174041,0,2524,1,NaN,NaN
72,-14.501636,9.151066,0,2523,1,NaN,NaN
73,-14.501636,9.139577,0,2522,1,NaN,NaN
74,-14.501636,9.142449,0,2521,1,NaN,NaN
75,-14.498881,9.148194,0,2519,1,NaN,NaN
76,-14.496126,9.151066,0,2515,1,NaN,NaN
77,-14.501636,9.171169,0,2512,1,NaN,NaN
78,-14.504391,9.185528,0,2510,1,NaN,NaN
79,-14.507146,9.194142,0,2509,1,NaN,NaN
80,-14.501636,9.185528,0,2509,1,NaN,NaN
81,-14.498881,9.171169,0,2511,1,NaN,NaN
82,-14.493371,9.162554,0,2513,1,NaN,NaN
83,-14.487861,9.15681,0,2513,1,NaN,NaN
84,-14.48235,9.15681,0,2512,1,NaN,NaN
85,-14.48235,9.136705,0,2512,1,NaN,NaN
86,-14.485106,9.11947,0,2512,1,NaN,NaN
87,-14.490616,9.11947,0,2511,1,NaN,NaN
88,-14.498881,9.136705,0,2511,1,NaN,NaN
89,-14.501636,9.159682,0,2513,1,NaN,NaN
90,-14.501636,9.159682,0,2516,1,NaN,NaN
91,-14.501636,9.162554,0,2517,1,NaN,NaN
92,-14.501636,9.162554,0,2516,1,NaN,NaN
93,-14.501636,9.168298,0,2515,1,NaN,NaN
94,-14.498881,9.174041,0,2515,1,NaN,NaN
95,-14.496126,9.176913,0,2516,1,NaN,NaN
96,-14.507146,9.176913,0,2517,1,NaN,NaN
97,-14.518164,9.174041,0,2515,1,NaN,NaN
98,-14.53469,9.174041,0,2513,1,NaN,NaN
99,-14.540198,9.171169,0,2511,1,NaN,NaN
100,-14.542952,9.168298,0,2511,1,NaN,NaN
101,-14.545706,9.165426,0,2512,1,NaN,NaN
102,-14.540198,9.165426,0,2512,1,NaN,NaN
103,-14.531936,9.162554,0,2514,1,NaN,NaN
104,-14.523673,9.162554,0,2515,1,NaN,NaN
105,-14.509901,9.168298,0,2515,2,NaN,NaN
106,-14.496126,9.182656,0,2512,2,NaN,NaN
107,-14.465817,9.202756,0,2511,2,NaN,NaN
108,-14.427229,9.24582,0,2510,2,NaN,NaN
109,-14.388628,9.283134,0,2511,2,NaN,NaN
110,-14.336219,9.320439,0,2512,2,NaN,NaN
111,-14.245136,9.331916,0,2512,2,NaN,NaN
112,-14.076575,9.354868,0,2510,2,NaN,NaN
113,-13.877299,9.363474,0,2507,2,NaN,NaN
114,-13.694327,9.363474,0,2505,2,NaN,NaN
115,-13.519406,9.351999,0,2506,2,NaN,NaN
116,-13.308049,9.354868,0,2512,2,NaN,NaN
117,-13.071224,9.37208,0,2517,2,NaN,NaN
118,-12.822767,9.406498,0,2520,2,NaN,NaN
119,-12.660586,9.435175,0,2519,2,NaN,NaN
120,-12.523411,9.41797,0,2520,2,NaN,NaN
121,-12.419732,9.383553,0,2524,2,NaN,NaN
122,-12.290719,9.31757,0,2527,2,NaN,NaN
123,-12.192472,9.274523,0,2528,2,NaN,NaN
