n,x,y,val,dP,lab,xT,yT
0,-16.206952,6.214357,0,4031,0,NaN,NaN
1,-16.187979,6.217269,0,4033,0,NaN,NaN
2,-16.182557,6.231829,0,4032,0,NaN,NaN
3,-16.187979,6.240565,0,4032,0,NaN,NaN
4,-16.1934,6.234741,0,4031,0,NaN,NaN
5,-16.201532,6.228918,0,4031,0,NaN,NaN
6,-16.209662,6.231829,0,4034,0,NaN,NaN
7,-16.206952,6.231829,0,4036,1,NaN,NaN
8,-16.187979,6.231829,0,4038,1,NaN,NaN
9,-16.160867,6.226006,0,4037,1,NaN,NaN
10,-16.141885,6.223094,0,4038,1,NaN,NaN
11,-16.141885,6.205621,0,4038,1,NaN,NaN
12,-16.152733,6.191059,0,4038,1,NaN,NaN
13,-16.163579,6.176497,0,4037,1,NaN,NaN
14,-16.155444,6.202709,0,4037,1,NaN,NaN
15,-16.150021,6.226006,0,4037,1,NaN,NaN
16,-16.150021,6.243477,0,4035,1,NaN,NaN
17,-16.160867,6.231829,0,4035,1,NaN,NaN
18,-16.16629,6.220182,0,4034,1,NaN,NaN
19,-16.169002,6.214357,0,4037,1,NaN,NaN
20,-16.158156,6.211445,0,4041,1,NaN,NaN
21,-16.150021,6.208533,0,4044,1,NaN,NaN
22,-16.144597,6.208533,0,4045,1,NaN,NaN
23,-16.150021,6.211445,0,4044,1,NaN,NaN
24,-16.163579,6.214357,0,4043,1,NaN,NaN
25,-16.171713,6.217269,0,4041,1,NaN,NaN
26,-16.163579,6.220182,0,4040,1,NaN,NaN
27,-16.158156,6.220182,0,4039,1,NaN,NaN
28,-16.158156,6.217269,0,4041,1,NaN,NaN
29,-16.158156,6.208533,0,4045,1,NaN,NaN
30,-16.155444,6.196884,0,4049,1,NaN,NaN
31,-16.133749,6.185235,0,4052,1,NaN,NaN
32,-16.125612,6.188147,0,4052,1,NaN,NaN
33,-16.141885,6.196884,0,4052,1,NaN,NaN
34,-16.182557,6.191059,0,4052,1,NaN,NaN
35,-16.223212,6.17941,0,4051,1,NaN,NaN
36,-16.201532,6.164847,0,4049,1,NaN,NaN
37,-16.163579,6.167759,0,4047,1,NaN,NaN
38,-16.125612,6.164847,0,4046,1,NaN,NaN
39,-16.141885,6.161934,0,4046,1,NaN,NaN
40,-16.160867,6.164847,0,4046,1,NaN,NaN
41,-16.187979,6.176497,0,4049,1,NaN,NaN
42,-16.198821,6.182322,0,4052,1,NaN,NaN
43,-16.196111,6.182322,0,4053,1,NaN,NaN
44,-16.185268,6.199796,0,4051,1,NaN,NaN
45,-16.171713,6.217269,0,4049,1,NaN,NaN
46,-16.169002,6.228918,0,4054,1,NaN,NaN
47,-16.158156,6.217269,0,4060,1,NaN,NaN
48,-16.152733,6.205621,0,4064,1,NaN,NaN
49,-16.144597,6.202709,0,4063,1,NaN,NaN
50,-16.150021,6.205621,0,4062,1,NaN,NaN
51,-16.152733,6.205621,0,4058,1,NaN,NaN
52,-16.150021,6.208533,0,4054,1,NaN,NaN
53,-16.150021,6.208533,0,4050,1,NaN,NaN
54,-16.155444,6.211445,0,4051,1,NaN,NaN
55,-16.16629,6.214357,0,4053,1,NaN,NaN
56,-16.179846,6.220182,0,4054,1,NaN,NaN
57,-16.185268,6.220182,0,4056,1,NaN,NaN
58,-16.187979,6.217269,0,4056,1,NaN,NaN
59,-16.16629,6.211445,0,4059,1,NaN,NaN
60,-16.144597,6.205621,0,4061,1,NaN,NaN
61,-16.122899,6.202709,0,4060,1,NaN,NaN
62,-16.122899,6.188147,0,4058,1,NaN,NaN
63,-16.122899,6.173585,0,4055,1,NaN,NaN
64,-16.125612,6.156109,0,4055,1,NaN,NaN
65,-16.133749,6.156109,0,4055,1,NaN,NaN
66,-16.139173,6.159021,0,4055,1,NaN,NaN
67,-16.152733,6.156109,0,4058,1,NaN,NaN
68,-16.158156,6.164847,0,4060,1,NaN,NaN
69,-16.163579,6.173585,0,4062,1,NaN,NaN
70,-16.163579,6.182322,0,4063,1,NaN,NaN
71,-16.163579,6.173585,0,4064,1,NaN,NaN
72,-16.158156,6.161934,0,4062,1,NaN,NaN
73,-16.147309,6.156109,0,4060,1,NaN,NaN
74,-16.141885,6.159021,0,4058,1,NaN,NaN
75,-16.141885,6.170672,0,4060,1,NaN,NaN
76,-16.150021,6.17941,0,4063,1,NaN,NaN
77,-16.158156,6.173585,0,4065,1,NaN,NaN
78,-16.160867,6.167759,0,4068,1,NaN,NaN
79,-16.163579,6.161934,0,4071,1,NaN,NaN
80,-16.185268,6.170672,0,4073,1,NaN,NaN
81,-16.204242,6.176497,0,4072,1,NaN,NaN
82,-16.185268,6.17941,0,4070,1,NaN,NaN
83,-16.147309,6.159021,0,4069,1,NaN,NaN
84,-16.109336,6.135719,0,4068,1,NaN,NaN
