n,x,y,val,dP,lab,xT,yT
0,0.408542,-5.495446,0,7278,0,NaN,NaN
1,0.402664,-5.495446,0,7280,0,NaN,NaN
2,0.399725,-5.489607,0,7273,0,NaN,NaN
3,0.402664,-5.477928,0,7266,0,NaN,NaN
4,0.408542,-5.472088,0,7259,0,NaN,NaN
5,0.411481,-5.475008,0,7258,0,NaN,NaN
6,0.411481,-5.477928,0,7262,0,NaN,NaN
7,0.408542,-5.477928,0,7266,1,NaN,NaN
8,0.411481,-5.483767,0,7267,1,NaN,NaN
9,0.420298,-5.489607,0,7264,1,NaN,NaN
10,0.429115,-5.498366,0,7260,1,NaN,NaN
11,0.440871,-5.498366,0,7260,1,NaN,NaN
12,0.44381,-5.495446,0,7259,1,NaN,NaN
13,0.44381,-5.495446,0,7259,1,NaN,NaN
14,0.434993,-5.489607,0,7258,1,NaN,NaN
15,0.41442,-5.483767,0,7261,1,NaN,NaN
16,0.399725,-5.477928,0,7266,1,NaN,NaN
17,0.390907,-5.475008,0,7270,1,NaN,NaN
18,0.387968,-5.469168,0,7267,1,NaN,NaN
19,0.387968,-5.463329,0,7264,1,NaN,NaN
20,0.387968,-5.451649,0,7259,1,NaN,NaN
21,0.385029,-5.442888,0,7257,1,NaN,NaN
22,0.38209,-5.434128,0,7256,1,NaN,NaN
23,0.396786,-5.434128,0,7260,1,NaN,NaN
24,0.411481,-5.439968,0,7263,1,NaN,NaN
25,0.429115,-5.442888,0,7264,1,NaN,NaN
26,0.429115,-5.448729,0,7264,1,NaN,NaN
27,0.426176,-5.454569,0,7263,1,NaN,NaN
28,0.423237,-5.460409,0,7263,1,NaN,NaN
29,0.411481,-5.472088,0,7263,1,NaN,NaN
30,0.402664,-5.477928,0,7263,1,NaN,NaN
31,0.396786,-5.483767,0,7261,1,NaN,NaN
32,0.393846,-5.489607,0,7260,1,NaN,NaN
33,0.387968,-5.489607,0,7261,1,NaN,NaN
34,0.393846,-5.486687,0,7264,1,NaN,NaN
35,0.399725,-5.480848,0,7267,1,NaN,NaN
36,0.408542,-5.477928,0,7267,1,NaN,NaN
37,0.405603,-5.472088,0,7270,1,NaN,NaN
38,0.405603,-5.466249,0,7273,1,NaN,NaN
39,0.405603,-5.475008,0,7276,1,NaN,NaN
40,0.408542,-5.489607,0,7277,1,NaN,NaN
41,0.402664,-5.504205,0,7279,1,NaN,NaN
42,0.393846,-5.504205,0,7281,1,NaN,NaN
43,0.393846,-5.501285,0,7278,1,NaN,NaN
44,0.396786,-5.504205,0,7274,1,NaN,NaN
45,0.402664,-5.507124,0,7272,1,NaN,NaN
46,0.405603,-5.507124,0,7275,1,NaN,NaN
47,0.420298,-5.507124,0,7278,1,NaN,NaN
48,0.434993,-5.507124,0,7277,1,NaN,NaN
49,0.449688,-5.504205,0,7278,1,NaN,NaN
50,0.446749,-5.504205,0,7279,1,NaN,NaN
51,0.446749,-5.504205,0,7278,1,NaN,NaN
52,0.434993,-5.501285,0,7276,1,NaN,NaN
53,0.426176,-5.498366,0,7274,1,NaN,NaN
54,0.417359,-5.489607,0,7275,1,NaN,NaN
55,0.423237,-5.483767,0,7276,1,NaN,NaN
56,0.426176,-5.475008,0,7276,1,NaN,NaN
57,0.420298,-5.475008,0,7276,1,NaN,NaN
58,0.408542,-5.486687,0,7276,1,NaN,NaN
59,0.405603,-5.498366,0,7276,1,NaN,NaN
60,0.417359,-5.495446,0,7276,1,NaN,NaN
61,0.426176,-5.486687,0,7276,1,NaN,NaN
62,0.432054,-5.472088,0,7276,1,NaN,NaN
63,0.432054,-5.472088,0,7276,1,NaN,NaN
64,0.420298,-5.472088,0,7276,1,NaN,NaN
65,0.408542,-5.475008,0,7282,1,NaN,NaN
66,0.408542,-5.480848,0,7288,1,NaN,NaN
67,0.420298,-5.486687,0,7290,1,NaN,NaN
68,0.432054,-5.495446,0,7287,1,NaN,NaN
69,0.423237,-5.492526,0,7283,1,NaN,NaN
70,0.411481,-5.486687,0,7279,1,NaN,NaN
71,0.402664,-5.495446,0,7275,1,NaN,NaN
72,0.408542,-5.512963,0,7270,1,NaN,NaN
73,0.411481,-5.510044,0,7268,1,NaN,NaN
74,0.41442,-5.492526,0,7265,1,NaN,NaN
75,0.41442,-5.472088,0,7264,1,NaN,NaN
76,0.417359,-5.475008,0,7264,1,NaN,NaN
77,0.423237,-5.480848,0,7266,1,NaN,NaN
78,0.429115,-5.483767,0,7271,1,NaN,NaN
79,0.429115,-5.475008,0,7277,1,NaN,NaN
80,0.411481,-5.460409,0,7282,1,NaN,NaN
81,0.396786,-5.445808,0,7285,1,NaN,NaN
82,0.385029,-5.442888,0,7287,1,NaN,NaN
83,0.385029,-5.469168,0,7288,1,NaN,NaN
84,0.408542,-5.495446,0,7287,1,NaN,NaN
85,0.432054,-5.507124,0,7281,1,NaN,NaN
86,0.458505,-5.495446,0,7275,1,NaN,NaN
87,0.467322,-5.483767,0,7270,1,NaN,NaN
88,0.476139,-5.486687,0,7269,1,NaN,NaN
89,0.482017,-5.489607,0,7269,1,NaN,NaN
90,0.482017,-5.489607,0,7270,1,NaN,NaN
91,0.470261,-5.489607,0,7271,1,NaN,NaN
92,0.44381,-5.489607,0,7271,1,NaN,NaN
93,0.420298,-5.501285,0,7271,1,NaN,NaN
94,0.420298,-5.515883,0,7271,1,NaN,NaN
95,0.426176,-5.521721,0,7271,1,NaN,NaN
96,0.432054,-5.515883,0,7272,1,NaN,NaN
97,0.429115,-5.512963,0,7274,1,NaN,NaN
98,0.432054,-5.518802,0,7277,1,NaN,NaN
99,0.440871,-5.518802,0,7280,1,NaN,NaN
100,0.446749,-5.521721,0,7285,1,NaN,NaN
101,0.44381,-5.521721,0,7288,1,NaN,NaN
102,0.434993,-5.524641,0,7289,1,NaN,NaN
103,0.44381,-5.52756,0,7286,1,NaN,NaN
104,0.458505,-5.512963,0,7281,1,NaN,NaN
105,0.4732,-5.492526,0,7279,1,NaN,NaN
106,0.470261,-5.477928,0,7277,1,NaN,NaN
107,0.461444,-5.480848,0,7278,1,NaN,NaN
108,0.452627,-5.486687,0,7278,1,NaN,NaN
109,0.446749,-5.483767,0,7278,1,NaN,NaN
110,0.446749,-5.495446,0,7279,1,NaN,NaN
111,0.446749,-5.501285,0,7279,1,NaN,NaN
112,0.44381,-5.504205,0,7279,1,NaN,NaN
113,0.44381,-5.495446,0,7280,1,NaN,NaN
114,0.452627,-5.492526,0,7279,1,NaN,NaN
115,0.458505,-5.498366,0,7280,1,NaN,NaN
116,0.461444,-5.504205,0,7281,1,NaN,NaN
117,0.458505,-5.504205,0,7283,1,NaN,NaN
118,0.455566,-5.498366,0,7284,1,NaN,NaN
119,0.440871,-5.492526,0,7278,1,NaN,NaN
120,0.426176,-5.489607,0,7270,1,NaN,NaN
121,0.417359,-5.489607,0,7263,1,NaN,NaN
122,0.426176,-5.489607,0,7263,1,NaN,NaN
123,0.434993,-5.492526,0,7263,1,NaN,NaN
124,0.440871,-5.495446,0,7264,1,NaN,NaN
125,0.432054,-5.498366,0,7264,1,NaN,NaN
126,0.417359,-5.507124,0,7267,1,NaN,NaN
127,0.41442,-5.515883,0,7269,1,NaN,NaN
128,0.429115,-5.504205,0,7271,1,NaN,NaN
129,0.446749,-5.483767,0,7270,1,NaN,NaN
130,0.455566,-5.466249,0,7270,1,NaN,NaN
131,0.464383,-5.466249,0,7270,1,NaN,NaN
132,0.467322,-5.466249,0,7269,1,NaN,NaN
133,0.455566,-5.463329,0,7266,1,NaN,NaN
